103 Transform(Location(x=-96.983971, y=6.285394, z=0.300000), Rotation(pitch=0.000000, yaw=-0.139465, roll=0.000000))
104 Transform(Location(x=-131.910217, y=-40.474476, z=0.300000), Rotation(pitch=0.000000, yaw=90.393547, roll=0.000000))
105 Transform(Location(x=-128.395874, y=-42.550396, z=0.300000), Rotation(pitch=0.000000, yaw=90.393547, roll=0.000000))
106 Transform(Location(x=-164.731964, y=-88.141899, z=0.300000), Rotation(pitch=0.000000, yaw=0.086304, roll=0.000000))
107 Transform(Location(x=-162.537247, y=-84.638641, z=0.300000), Rotation(pitch=0.000000, yaw=0.086304, roll=0.000000))
108 Transform(Location(x=-95.266602, y=-95.037498, z=0.300000), Rotation(pitch=0.000000, yaw=-179.913696, roll=0.000000))
109 Transform(Location(x=-96.771873, y=-91.539734, z=0.300000), Rotation(pitch=0.000000, yaw=-179.913696, roll=0.000000))
110 Transform(Location(x=24.707123, y=-51.034554, z=0.300000), Rotation(pitch=0.000000, yaw=91.532082, roll=0.000000))
111 Transform(Location(x=28.240623, y=-52.240532, z=0.300000), Rotation(pitch=0.000000, yaw=91.532082, roll=0.000000))
112 Transform(Location(x=-120.745628, y=53.579826, z=0.300000), Rotation(pitch=0.000000, yaw=-90.511383, roll=0.000000))
113 Transform(Location(x=-124.229408, y=55.410995, z=0.300000), Rotation(pitch=0.000000, yaw=-90.511383, roll=0.000000))
114 Transform(Location(x=-124.911293, y=-40.291382, z=0.300000), Rotation(pitch=0.000000, yaw=-89.606445, roll=0.000000))
115 Transform(Location(x=-121.396957, y=-42.367298, z=0.300000), Rotation(pitch=0.000000, yaw=-89.606445, roll=0.000000))
116 Transform(Location(x=31.704620, y=-50.847397, z=0.300000), Rotation(pitch=0.000000, yaw=-88.467949, roll=0.000000))
117 Transform(Location(x=35.238125, y=-52.053371, z=0.300000), Rotation(pitch=0.000000, yaw=-88.467949, roll=0.000000))
118 Transform(Location(x=35.099331, y=54.589581, z=0.300000), Rotation(pitch=0.000000, yaw=-89.977112, roll=0.000000))
119 Transform(Location(x=31.599440, y=55.988182, z=0.300000), Rotation(pitch=0.000000, yaw=-89.977112, roll=0.000000))
120 Transform(Location(x=-9.640591, y=87.992393, z=0.300000), Rotation(pitch=0.000000, yaw=-179.934418, roll=0.000000))
121 Transform(Location(x=-8.236587, y=84.493980, z=0.300000), Rotation(pitch=0.000000, yaw=-179.934418, roll=0.000000))
122 Transform(Location(x=-120.149292, y=120.387146, z=0.300000), Rotation(pitch=0.000000, yaw=-90.511383, roll=0.000000))
123 Transform(Location(x=-123.665184, y=118.618423, z=0.300000), Rotation(pitch=0.000000, yaw=-90.511383, roll=0.000000))
124 Transform(Location(x=-47.711586, y=-41.689964, z=0.450000), Rotation(pitch=0.000000, yaw=-90.337494, roll=0.000000))
125 Transform(Location(x=-110.700020, y=-88.060577, z=0.300000), Rotation(pitch=0.000000, yaw=0.086304, roll=0.000000))
126 Transform(Location(x=-112.205292, y=-84.562813, z=0.300000), Rotation(pitch=0.000000, yaw=0.086304, roll=0.000000))
127 Transform(Location(x=-177.549835, y=2.981492, z=0.300000), Rotation(pitch=0.000000, yaw=-0.139465, roll=0.000000))
128 Transform(Location(x=-175.941330, y=6.477585, z=0.300000), Rotation(pitch=0.000000, yaw=-0.139465, roll=0.000000))
129 Transform(Location(x=-203.448898, y=-3.955487, z=0.300000), Rotation(pitch=0.000000, yaw=179.860489, roll=0.000000))
130 Transform(Location(x=-201.940384, y=-0.459150, z=0.300000), Rotation(pitch=0.000000, yaw=179.860489, roll=0.000000))
131 Transform(Location(x=-191.567139, y=14.351324, z=0.600000), Rotation(pitch=0.000000, yaw=89.984192, roll=0.000000))
132 Transform(Location(x=-184.574814, y=-13.591502, z=0.600000), Rotation(pitch=0.000000, yaw=-90.015808, roll=0.000000))
133 Transform(Location(x=-195.066757, y=15.851251, z=0.600000), Rotation(pitch=0.000000, yaw=89.984192, roll=0.000000))
134 Transform(Location(x=-188.074295, y=-11.590188, z=0.600000), Rotation(pitch=0.000000, yaw=-90.015808, roll=0.000000))
135 Transform(Location(x=-112.302406, y=2.822677, z=0.300000), Rotation(pitch=0.000000, yaw=-0.139465, roll=0.000000))
136 Transform(Location(x=-110.893890, y=6.319256, z=0.300000), Rotation(pitch=0.000000, yaw=-0.139465, roll=0.000000))
137 Transform(Location(x=-141.882370, y=-4.105343, z=0.300000), Rotation(pitch=0.000000, yaw=179.860489, roll=0.000000))
138 Transform(Location(x=-140.373856, y=-0.609006, z=0.300000), Rotation(pitch=0.000000, yaw=179.860489, roll=0.000000))
139 Transform(Location(x=-128.108505, y=13.788225, z=0.300000), Rotation(pitch=0.000000, yaw=89.174805, roll=0.000000))
140 Transform(Location(x=-121.555489, y=-11.948098, z=0.300000), Rotation(pitch=0.000000, yaw=-90.424431, roll=0.000000))
141 Transform(Location(x=-131.585098, y=15.438466, z=0.300000), Rotation(pitch=0.000000, yaw=89.174805, roll=0.000000))
142 Transform(Location(x=-125.065781, y=-13.322133, z=0.300000), Rotation(pitch=0.000000, yaw=-90.424431, roll=0.000000))
143 Transform(Location(x=35.057194, y=137.335281, z=0.300000), Rotation(pitch=0.000000, yaw=-89.977112, roll=0.000000))
